Entity,Year,Country code,"Health Expenditure, as % of national GDP"
Afghanistan,2002,AFG,8.1883526
Afghanistan,2003,AFG,9.30019842
Afghanistan,2004,AFG,9.24774288
Afghanistan,2005,AFG,8.75306857
Afghanistan,2006,AFG,8.5828413
Afghanistan,2007,AFG,8.41888586
Afghanistan,2008,AFG,9.60961025
Afghanistan,2009,AFG,8.48382362
Afghanistan,2010,AFG,8.45631755
Afghanistan,2011,AFG,8.06515515
Afghanistan,2012,AFG,8.47919927
Afghanistan,2013,AFG,8.09959347
Albania,1995,ALB,9.55671263
Albania,1996,ALB,7.43197435
Albania,1997,ALB,7.56809993
Albania,1998,ALB,6.94329921
Albania,1999,ALB,6.86818989
Albania,2000,ALB,6.2559844
Albania,2001,ALB,6.00014389
Albania,2002,ALB,6.48169625
Albania,2003,ALB,6.26700723
Albania,2004,ALB,6.38156698
Albania,2005,ALB,6.11598197
Albania,2006,ALB,5.86037319
Albania,2007,ALB,6.10526057
Albania,2008,ALB,5.86941583
Albania,2009,ALB,5.79133716
Albania,2010,ALB,5.33503467
Albania,2011,ALB,5.71466404
Albania,2012,ALB,5.62743862
Albania,2013,ALB,5.88232793
Algeria,1995,DZA,3.70152453
Algeria,1996,DZA,3.34906968
Algeria,1997,DZA,3.59465773
Algeria,1998,DZA,3.59408178
Algeria,1999,DZA,3.43391495
Algeria,2000,DZA,3.48902094
Algeria,2001,DZA,3.83786516
Algeria,2002,DZA,3.73006375
Algeria,2003,DZA,3.60102674
Algeria,2004,DZA,3.54406326
Algeria,2005,DZA,3.23516801
Algeria,2006,DZA,3.35511843
Algeria,2007,DZA,3.82141191
Algeria,2008,DZA,4.20191141
Algeria,2009,DZA,5.17626836
Algeria,2010,DZA,4.82425417
Algeria,2011,DZA,5.13638161
Algeria,2012,DZA,6.00727769
Algeria,2013,DZA,6.63502639
Andorra,1995,AND,6.04159589
Andorra,1996,AND,6.34820444
Andorra,1997,AND,6.34619618
Andorra,1998,AND,7.7856654
Andorra,1999,AND,5.81291759
Andorra,2000,AND,5.99720702
Andorra,2001,AND,5.74884724
Andorra,2002,AND,5.97846655
Andorra,2003,AND,5.7793529
Andorra,2004,AND,5.7169139
Andorra,2005,AND,5.75163479
Andorra,2006,AND,5.99685696
Andorra,2007,AND,6.10248475
Andorra,2008,AND,6.09609022
Andorra,2009,AND,6.07707918
Andorra,2010,AND,7.2786713
Andorra,2011,AND,7.51231234
Andorra,2012,AND,8.3020192
Andorra,2013,AND,8.07364602
Angola,1995,AGO,4.83242679
Angola,1996,AGO,3.44775012
Angola,1997,AGO,4.57851056
Angola,1998,AGO,4.7045351
Angola,1999,AGO,4.10987898
Angola,2000,AGO,3.3906891
Angola,2001,AGO,5.82113343
Angola,2002,AGO,4.36041309
Angola,2003,AGO,4.93052307
