Entity,Year,Country code,Share of people who have bribed
Afghanistan,2013,AFG,46
Algeria,2013,DZA,41
Argentina,2013,ARG,13
Armenia,2013,ARM,18
Australia,2013,AUS,1
Bangladesh,2013,BGD,39
Belgium,2013,BEL,4
Bolivia,2013,BOL,36
Bosnia and Herzegovina,2013,BIH,28
Bulgaria,2013,BGR,8
Cambodia,2013,KHM,57
Cameroon,2013,CMR,62
Canada,2013,CAN,3
Chile,2013,CHL,10
Colombia,2013,COL,22
Croatia,2013,HRV,4
Cyprus,2013,CYP,19
Czech Republic,2013,CZE,15
Democratic Republic of Congo,2013,COD,46
Denmark,2013,DNK,1
Egypt,2013,EGY,36
El Salvador,2013,SLV,12
Estonia,2013,EST,6
Ethiopia,2013,ETH,44
Finland,2013,FIN,1
Georgia,2013,GEO,4
Ghana,2013,GHA,54
Greece,2013,GRC,22
Hungary,2013,HUN,12
India,2013,IND,54
Indonesia,2013,IDN,36
Iraq,2013,IRQ,29
Israel,2013,ISR,12
Italy,2013,ITA,5
Jamaica,2013,JAM,12
Japan,2013,JPN,1
Jordan,2013,JOR,37
Kazakhstan,2013,KAZ,34
Kenya,2013,KEN,70
Kosovo,2013,OWID_KOS,16
Kyrgyzstan,2013,KGZ,45
Latvia,2013,LVA,19
Liberia,2013,LBR,75
Libya,2013,LBY,62
Lithuania,2013,LTU,26
Macedonia,2013,MKD,17
Madagascar,2013,MDG,28
Malaysia,2013,MYS,3
Maldives,2013,MDV,3
Mexico,2013,MEX,33
Moldova,2013,MDA,29
Mongolia,2013,MNG,45
Morocco,2013,MAR,49
Mozambique,2013,MOZ,62
Nepal,2013,NPL,31
New Zealand,2013,NZL,3
Nigeria,2013,NGA,44
Norway,2013,NOR,3
Pakistan,2013,PAK,34
Palestine,2013,PSE,12
Papua New Guinea,2013,PNG,27
Paraguay,2013,PRY,25
Peru,2013,PER,20
Philippines,2013,PHL,12
Portugal,2013,PRT,3
Romania,2013,ROU,17
Rwanda,2013,RWA,13
Senegal,2013,SEN,57
Serbia,2013,SRB,26
Sierra Leone,2013,SLE,84
Slovakia,2013,SVK,21
Slovenia,2013,SVN,6
Solomon Islands,2013,SLB,34
South Africa,2013,ZAF,47
South Korea,2013,KOR,3
South Sudan,2013,SSD,39
Spain,2013,ESP,2
Sri Lanka,2013,LKA,19
Sudan,2013,SDN,17
Switzerland,2013,CHE,7
Taiwan,2013,TWN,36
Tanzania,2013,TZA,56
Thailand,2013,THA,18
Tunisia,2013,TUN,18
Turkey,2013,TUR,21
Uganda,2013,UGA,61
Ukraine,2013,UKR,37
United Kingdom,2013,GBR,5
United States,2013,USA,7
Uruguay,2013,URY,3
Vanuatu,2013,VUT,13
Venezuela,2013,VEN,27
Vietnam,2013,VNM,30
Yemen,2013,YEM,74
Zimbabwe,2013,ZWE,62
