Entity,Year,Country code,Total Government Expenditure on Education
Afghanistan,2010,AFG,4.51116
Afghanistan,2011,AFG,4.08791
Afghanistan,2012,AFG,3.12561
Afghanistan,2013,AFG,4.57747
Afghanistan,2014,AFG,4.6191
Albania,1996,ALB,3.27428
Albania,1997,ALB,3.47532
Albania,1998,ALB,3.30127
Albania,1999,ALB,3.36038
Albania,2000,ALB,3.23823
Albania,2001,ALB,3.31589
Albania,2002,ALB,3.04681
Albania,2003,ALB,3.11557
Albania,2004,ALB,3.10656
Albania,2005,ALB,3.15439
Albania,2006,ALB,3.10882
Albania,2007,ALB,3.26868
Albania,2013,ALB,3.50083
Algeria,2008,DZA,4.33702
Andorra,1997,AND,3.71328
Andorra,2002,AND,1.69684
Andorra,2004,AND,1.53254
Andorra,2005,AND,1.60025
Andorra,2006,AND,2.19399
Andorra,2007,AND,2.07405
Andorra,2008,AND,2.93457
Andorra,2009,AND,3.16387
Andorra,2010,AND,3.0658
Andorra,2011,AND,3.15889
Andorra,2013,AND,2.46258
Angola,1998,AGO,2.59149
Angola,2000,AGO,2.60753
Angola,2005,AGO,2.7762
Angola,2006,AGO,2.85969
Angola,2010,AGO,3.47644
Antigua and Barbuda,1999,ATG,3.23707
Antigua and Barbuda,2002,ATG,3.44539
Antigua and Barbuda,2009,ATG,2.55447
Argentina,1996,ARG,3.73198
Argentina,1998,ARG,4.03987
Argentina,1999,ARG,4.52168
Argentina,2000,ARG,4.58031
Argentina,2001,ARG,4.83374
Argentina,2002,ARG,4.01734
Argentina,2003,ARG,3.53505
Argentina,2004,ARG,3.15654
Argentina,2005,ARG,3.47405
Argentina,2006,ARG,3.65499
Argentina,2007,ARG,3.89635
Argentina,2008,ARG,4.33782
Argentina,2009,ARG,4.89
Argentina,2010,ARG,4.60637
Argentina,2011,ARG,4.98632
Argentina,2012,ARG,5.09905
Argentina,2013,ARG,5.3441
Armenia,1996,ARM,1.84843
Armenia,1999,ARM,2.23519
Armenia,2000,ARM,2.77273
Armenia,2001,ARM,2.46944
Armenia,2002,ARM,2.13504
Armenia,2003,ARM,2.14504
Armenia,2004,ARM,2.48673
Armenia,2005,ARM,2.71203
Armenia,2006,ARM,2.71577
Armenia,2007,ARM,3.01894
Armenia,2008,ARM,3.17273
Armenia,2009,ARM,3.84079
Armenia,2010,ARM,3.249
Armenia,2011,ARM,3.14385
Armenia,2012,ARM,3.27524
Armenia,2013,ARM,2.82555
Armenia,2014,ARM,2.39756
Aruba,1998,ABW,4.76316
Aruba,1999,ABW,4.39554
Aruba,2000,ABW,4.71468
Aruba,2001,ABW,4.73949
Aruba,2002,ABW,4.92427
Aruba,2004,ABW,4.4089
Aruba,2005,ABW,4.68076
Aruba,2007,ABW,4.79918
Aruba,2008,ABW,4.91559
