Entity,Year,Country code,Total Taxes
Afghanistan,2003,AFG,2.512628799
Afghanistan,2004,AFG,4.076170749
Afghanistan,2005,AFG,4.668273614
Afghanistan,2006,AFG,7.115890775
Afghanistan,2007,AFG,6.061553936
Afghanistan,2008,AFG,6.174381508
Afghanistan,2009,AFG,8.673145298
Afghanistan,2010,AFG,9.559737214
Afghanistan,2011,AFG,9.359386622
Afghanistan,2012,AFG,7.950492942
Albania,1992,ALB,13.32632349
Albania,1993,ALB,14.71452425
Albania,1994,ALB,15.5272531
Albania,1995,ALB,14.32160169
Albania,1996,ALB,12.37980041
Albania,1997,ALB,13.19187286
Albania,1998,ALB,17.63402076
Albania,1999,ALB,17.71287041
Albania,2000,ALB,19.90237896
Albania,2001,ALB,19.91381098
Albania,2002,ALB,20.70751922
Albania,2003,ALB,20.93566038
Albania,2004,ALB,22.10321402
Albania,2005,ALB,22.36139799
Albania,2006,ALB,23.2938
Albania,2007,ALB,23.58241963
Albania,2008,ALB,24.43831662
Albania,2009,ALB,23.67257024
Albania,2010,ALB,23.29689832
Albania,2011,ALB,23.08898833
Albania,2012,ALB,22.53105602
Albania,2013,ALB,21.71778602
Algeria,1985,DZA,16.97530864
Algeria,1986,DZA,18.37491571
Algeria,1987,DZA,18.5481292
Algeria,1988,DZA,16.70980731
Algeria,1989,DZA,16.349045
Algeria,1990,DZA,14.21356421
Algeria,1991,DZA,12.31829929
Algeria,1992,DZA,10.76579511
Algeria,1993,DZA,10.59913257
Algeria,1994,DZA,10.9721662
Algeria,1995,DZA,11.6309807
Algeria,1996,DZA,11.30350195
Algeria,1997,DZA,11.29055464
Algeria,1998,DZA,11.65169282
Algeria,1999,DZA,9.691521458
Algeria,2000,DZA,8.475809385
Algeria,2001,DZA,9.420169856
Algeria,2002,DZA,10.67701424
Algeria,2003,DZA,9.993717038
Algeria,2004,DZA,9.438779659
Algeria,2005,DZA,8.469981486
Algeria,2006,DZA,8.479540418
Algeria,2007,DZA,8.198535426
Algeria,2008,DZA,8.738013528
Algeria,2009,DZA,11.5067872
Algeria,2010,DZA,10.82427974
Algeria,2011,DZA,10.51174362
Algeria,2012,DZA,12.19328308
Angola,1985,AGO,27.70355234
Angola,1986,AGO,18.66780251
Angola,1987,AGO,20.86888815
Angola,1988,AGO,18.98423847
Angola,1989,AGO,20.7741522
Angola,1990,AGO,22.44409336
Angola,1991,AGO,14.75849732
Angola,1992,AGO,34.95365992
Angola,1993,AGO,38.23623196
Angola,1994,AGO,25.7
Angola,1995,AGO,27.16
Angola,1996,AGO,41.00810515
Angola,1997,AGO,25.92835509
Angola,1998,AGO,32.21188261
Angola,1999,AGO,42.61666959
Angola,2000,AGO,45.90314527
Angola,2001,AGO,41.25596554
Angola,2002,AGO,34.73210342
Angola,2003,AGO,36.090097
Angola,2004,AGO,36.35986885
Angola,2005,AGO,42.68171918
Angola,2006,AGO,48.8773638
Angola,2007,AGO,45.31131331
Angola,2008,AGO,50.08420324
Angola,2009,AGO,33.46313378
Angola,2010,AGO,41.82306337
Angola,2011,AGO,46.29809511
Angola,2012,AGO,43.82718684
Angola,2013,AGO,39.40884233
Anguilla,2000,AIA,20.05760132
Anguilla,2001,AIA,19.59861499
Anguilla,2002,AIA,20.93228945
Anguilla,2003,AIA,20.73761722
Anguilla,2004,AIA,24.0817138
Anguilla,2005,AIA,22.34417448
Anguilla,2006,AIA,26.06779661
Anguilla,2007,AIA,22.2276337
Anguilla,2008,AIA,19.79036495
Anguilla,2009,AIA,19.1262918
Anguilla,2010,AIA,20.32726358
Antigua and Barbuda,1992,ATG,14.84132841
Antigua and Barbuda,1993,ATG,14.55922865
Antigua and Barbuda,1994,ATG,14.82131661
Antigua and Barbuda,1995,ATG,15.11760966
Antigua and Barbuda,1996,ATG,15.65545244
Antigua and Barbuda,1997,ATG,15.21103896
Antigua and Barbuda,1998,ATG,14.80263158
Antigua and Barbuda,1999,ATG,14.55946076
Antigua and Barbuda,2000,ATG,13.4120983
Antigua and Barbuda,2001,ATG,15.22259454
Antigua and Barbuda,2002,ATG,16.29903092
Antigua and Barbuda,2003,ATG,16.89594356
Antigua and Barbuda,2004,ATG,17.60923331
Antigua and Barbuda,2005,ATG,16.8956554
Antigua and Barbuda,2006,ATG,18.5187602
Antigua and Barbuda,2007,ATG,19.8477449
Antigua and Barbuda,2008,ATG,19.0324354
Antigua and Barbuda,2009,ATG,17.60515812
Antigua and Barbuda,2010,ATG,18.79973907
Antigua and Barbuda,2011,ATG,18.06948541
